exp_sid,participant_number,n_full,n_leave_one_out,cooks_distance,full_beta_like_c,loo_beta_like_c,delta_beta_like_c,dfbetas_like_c,full_beta_ment_c,loo_beta_ment_c,delta_beta_ment_c,dfbetas_ment_c,full_beta_like_x_ment,loo_beta_like_x_ment,delta_beta_like_x_ment,dfbetas_like_x_ment,crosses_like_c,crosses_ment_c,crosses_like_x_ment,dfbetas_exclude_flag,manual_exclude_flag,exclude_flag,exclusion_reason,max_abs_dfbetas,cooks_threshold,cooks_crosses_threshold
62a36f18c1e94e6eabff7e80742d4d98,12,102,101,0.0012079469515018882,0.30137334403474053,0.301812138621467,0.0004387945867264653,0.0048550844958450854,0.03958796558046786,0.040624575256227445,0.001036609675759588,0.041936846637214045,-0.05243942644203587,-0.052451554450873086,-1.212800883721582e-05,-0.0005225439040509839,False,False,False,False,False,False,,0.041936846637214045,0.0392156862745098,False
4aaafe69bd1d423f9068c7ee2b7f1b24,13,102,101,0.0013538215609491477,0.30137334403474053,0.3060667517127382,0.004693407677997696,0.05193065625563821,0.03958796558046786,0.03893437157827224,-0.0006535940021956191,-0.026441651157650885,-0.05243942644203587,-0.05258734267153669,-0.00014791622950081906,-0.006373076163886034,False,False,False,False,False,False,,0.05193065625563821,0.0392156862745098,False
673dcdd4a5344facb04c4a4576b0ba79,14,102,101,0.005057115644482718,0.30137334403474053,0.31043207277012425,0.009058728735383714,0.10023116685038899,0.03958796558046786,0.038363993290147,-0.0012239722903208544,-0.049516746204180444,-0.05243942644203587,-0.05278993859575059,-0.0003505121537147188,-0.015102065943205118,False,False,False,False,False,False,,0.10023116685038899,0.0392156862745098,False
47e09766c58f40a7b99fca6080d6a541,15,102,101,0.002257528513315243,0.30137334403474053,0.3054731238776319,0.004099779842891393,0.045362404536700436,0.03958796558046786,0.04042773592542237,0.000839770344954513,0.03397355918082844,-0.05243942644203587,-0.053282485745530836,-0.0008430593034949654,-0.036323810916342854,False,False,False,False,False,False,,0.045362404536700436,0.0392156862745098,False
7fc17f54105c4f4281dc03dfedd3dac2,16,102,101,0.001542521682344431,0.30137334403474053,0.29820161879167784,-0.003171725243062695,-0.03509385602852381,0.03958796558046786,0.039312978787927055,-0.0002749867925408017,-0.011124803497124152,-0.05243942644203587,-0.05270573836352161,-0.0002663119214857401,-0.0114742389304215,False,False,False,False,False,False,,0.03509385602852381,0.0392156862745098,False
ee867f0d615e4e4699081702333a57f3,17,102,101,0.0016009864314792581,0.30137334403474053,0.30356187236737486,0.002188528332634332,0.024215180172936664,0.03958796558046786,0.03824232721937569,-0.0013456383610921663,-0.05443884125133517,-0.05243942644203587,-0.05271846520403145,-0.00027903876199558003,-0.012022583923858415,False,False,False,False,False,False,,0.05443884125133517,0.0392156862745098,False
bcc8ff2711444f4fa1cb7a4c732c6b9a,18,102,101,1.3264444328762958e-06,0.30137334403474053,0.30127747574194386,-9.586829279667475e-05,-0.0010607438561916966,0.03958796558046786,0.03957407665801031,-1.3888922457544473e-05,-0.0005618871062836625,-0.05243942644203587,-0.05240507421584177,3.4352226194099555e-05,0.0014800901474629937,False,False,False,False,False,False,,0.0014800901474629937,0.0392156862745098,False
bea2011ad47945a9991b4962b7a26bbe,19,102,101,0.003439215645306094,0.30137334403474053,0.2963532613018293,-0.005020082732911213,-0.05554518351342012,0.03958796558046786,0.038548975093628174,-0.0010389904868396832,-0.04203316419190499,-0.05243942644203587,-0.051370579945129814,0.0010688464969060563,0.04605201305680493,False,False,False,False,False,False,,0.05554518351342012,0.0392156862745098,False
30211c3c23054047b300fe7d69b21ea6,20,102,101,0.0026551285051494753,0.30137334403474053,0.30135226810939886,-2.1075925341673685e-05,-0.00023319658322434091,0.03958796558046786,0.04150446393067795,0.0019164983502100927,0.0775334238842995,-0.05243942644203587,-0.05238026949609206,5.9156945943807104e-05,0.0025488191755231567,False,False,False,False,False,False,,0.0775334238842995,0.0392156862745098,False
121e88c44bb24c3fac7a01bf04bdb03f,21,102,101,0.00112372539221726,0.30137334403474053,0.2996465575878992,-0.0017267864468413219,-0.019106193101057857,0.03958796558046786,0.03979727431972403,0.00020930873925617544,0.008467747025014844,-0.05243942644203587,-0.052196139051946255,0.00024328739008961514,0.010482210586266898,False,False,False,False,False,False,,0.019106193101057857,0.0392156862745098,False
